epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.724,1.81315,11.8405,0.00393,0.5307,0.11359,0.24878,0.15527,1.34108,6.50974,0.00636,0.00055011,0.00055011,0.00055011
2,1724.98,1.84563,7.78342,0.00435,0.38749,0.18013,0.2257,0.13568,1.54717,4.6156,0.00801,0.000996305,0.000996305,0.000996305
3,2577.5,1.93139,4.48496,0.00497,0.46647,0.3193,0.3596,0.21801,1.6414,3.45802,0.0088,0.00133248,0.00133248,0.00133248
4,3433.76,1.95463,2.69772,0.00517,0.52736,0.31481,0.34544,0.19458,1.60936,3.0833,0.00874,0.0011719,0.0011719,0.0011719
5,4284.41,1.85352,1.88437,0.00491,0.50708,0.27946,0.32135,0.18299,1.70796,2.81975,0.00839,0.00100687,0.00100687,0.00100687
6,5133.33,1.80543,1.59047,0.00451,0.46197,0.39899,0.37935,0.21542,1.69664,2.49834,0.00959,0.000841835,0.000841835,0.000841835
7,5990.36,1.72405,1.36048,0.00402,0.38087,0.3283,0.31202,0.17873,1.64105,2.62082,0.00861,0.000676802,0.000676802,0.000676802
