epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.7,1.93582,5.55759,0.00524,0.73999,0.32101,0.46647,0.22071,1.52686,4.43124,0.00726,0.00055011,0.00055011,0.00055011
2,745.873,2.00566,3.41786,0.00574,0.33297,0.49607,0.28842,0.14431,1.81619,3.61676,0.00876,0.00106929,0.00106929,0.00106929
3,1139.78,2.01957,2.39143,0.00557,0.57302,0.51122,0.45643,0.25125,1.92635,2.70008,0.0105,0.00155179,0.00155179,0.00155179
4,1553.87,2.14847,1.96734,0.00631,0.29839,0.37991,0.20288,0.09895,2.30289,2.90214,0.01426,0.00150197,0.00150197,0.00150197
5,1985.43,2.05987,1.53995,0.00584,0.44823,0.30247,0.26828,0.14208,2.02727,2.98478,0.01067,0.00144696,0.00144696,0.00144696
6,2399.98,1.95885,1.29444,0.00602,0.38633,0.47643,0.26737,0.14905,1.85713,2.46215,0.00969,0.00139195,0.00139195,0.00139195
7,2812.52,1.9701,1.21417,0.00557,0.50797,0.46811,0.38911,0.20173,1.98827,2.2216,0.01073,0.00133693,0.00133693,0.00133693
8,3203.51,1.94917,1.15617,0.00533,0.57051,0.46072,0.47795,0.26504,1.92115,2.06571,0.01026,0.00128192,0.00128192,0.00128192
9,3609.36,1.89066,1.11129,0.00534,0.72817,0.52012,0.5751,0.28594,2.03575,2.08236,0.01127,0.00122691,0.00122691,0.00122691
10,4061.58,1.8304,1.04741,0.00466,0.52129,0.49926,0.46765,0.24578,2.0284,2.27954,0.01016,0.0011719,0.0011719,0.0011719
11,4468.5,1.78393,1.0198,0.00523,0.50462,0.44276,0.40876,0.21509,2.11073,2.44772,0.01115,0.00111689,0.00111689,0.00111689
12,4866.73,1.80008,0.98721,0.00497,0.6465,0.44052,0.43466,0.25375,1.78832,2.43327,0.00908,0.00106188,0.00106188,0.00106188
13,5293.94,1.75118,0.93383,0.00479,0.53106,0.46296,0.43316,0.23823,1.92926,2.30876,0.00994,0.00100687,0.00100687,0.00100687
14,5729.22,1.67978,0.90007,0.00472,0.77196,0.43434,0.52599,0.28982,2.09813,2.2023,0.01045,0.000951857,0.000951857,0.000951857
15,6172.04,1.74797,0.9407,0.0045,0.63813,0.45511,0.4584,0.26608,1.96019,2.3839,0.01027,0.000896846,0.000896846,0.000896846
16,6587.42,1.71915,0.90787,0.00432,0.58029,0.49607,0.51286,0.29797,1.9518,2.15901,0.01017,0.000841835,0.000841835,0.000841835
17,7014.15,1.72198,0.87492,0.00417,0.63545,0.46577,0.51723,0.32575,1.86673,2.14003,0.00945,0.000786824,0.000786824,0.000786824
18,7408.92,1.64528,0.8575,0.0042,0.57718,0.48373,0.50785,0.29836,1.9059,2.2897,0.01015,0.000731813,0.000731813,0.000731813
19,7806.15,1.63808,0.84643,0.00462,0.78264,0.491,0.54111,0.30571,1.93037,2.30934,0.00941,0.000676802,0.000676802,0.000676802
